order_id,customer_id,product_id,quantity,order_timestamp,payment_method,status,shipping_city,order_value
1,4,41,1,2025-11-17T07:17:09.496094Z,Wallet,Completed,Akola,38166.75
2,95,15,2,2025-11-17T07:17:09.496094Z,Credit Card,Cancelled,Belgaum,123226.46
3,76,35,1,2025-11-17T07:17:09.496094Z,Net Banking,Completed,Sikar,52641.9
4,30,6,2,2025-11-17T07:17:09.496094Z,Cash on Delivery,Pending,Gaya,126998.18
5,92,36,2,2025-11-17T07:17:09.496094Z,Wallet,Cancelled,Agra,39944.14
6,58,27,2,2025-11-17T07:17:09.496094Z,Cash on Delivery,Completed,Bihar Sharif,102350.1
7,90,1,2,2025-11-17T07:17:09.496094Z,Net Banking,Completed,Thanjavur,22991.82
8,98,10,2,2025-11-17T07:17:09.496094Z,UPI,Completed,Malda,18717.66
9,46,25,1,2025-11-17T07:17:09.496094Z,UPI,Pending,Guntur,36283.48
10,69,3,4,2025-11-17T07:17:09.496094Z,Credit Card,Delivered,Darbhanga,106388.36
11,71,25,1,2025-11-17T07:17:09.496094Z,UPI,Shipped,Gorakhpur,36283.48
12,74,40,3,2025-11-17T07:17:09.496094Z,Debit Card,Cancelled,Ujjain,43948.17
13,99,3,2,2025-11-17T07:17:09.496094Z,UPI,Delivered,Bardhaman,53194.18
14,49,15,1,2025-11-17T07:17:09.498280Z,UPI,Completed,Kanpur,61613.23
15,48,24,2,2025-11-17T07:17:09.498280Z,UPI,Completed,Sagar,6356.78
16,78,18,1,2025-11-17T07:17:09.498280Z,Wallet,Completed,Akola,14956.2
17,21,47,2,2025-11-17T07:17:09.498280Z,Net Banking,Completed,Purnia,122896.84
18,29,41,5,2025-11-17T07:17:09.498280Z,Wallet,Completed,Chandigarh,190833.75
19,30,50,1,2025-11-17T07:17:09.498280Z,Credit Card,Shipped,Bareilly,26625.96
20,9,26,3,2025-11-17T07:17:09.498280Z,Debit Card,Delivered,Kolhapur,57672.48
21,28,37,3,2025-11-17T07:17:09.498280Z,Wallet,Completed,North Dumdum,138010.53
22,19,42,4,2025-11-17T07:17:09.498280Z,UPI,Completed,Chennai,139250.52
